iter	Passed	Remaining
0	1	125
1	2	124
2	3	127
3	4	119
4	7	134
5	9	148
6	11	151
7	13	153
8	15	157
9	17	156
10	18	153
11	20	153
12	23	155
13	25	154
14	27	153
15	28	150
16	30	150
17	33	151
18	37	157
19	39	158
20	45	171
21	50	180
22	54	184
23	57	183
24	61	185
25	68	194
26	70	189
27	72	185
28	74	183
29	77	180
30	79	176
31	81	173
32	84	171
33	89	173
34	91	169
35	93	165
36	96	164
37	98	161
38	101	158
39	103	155
40	105	152
41	106	147
42	108	144
43	111	142
44	114	140
45	118	138
46	120	136
47	123	134
48	128	133
49	131	131
50	134	128
51	136	125
52	138	122
53	140	119
54	144	118
55	148	116
56	152	114
57	155	112
58	159	110
59	164	109
60	166	106
61	171	105
62	177	104
63	180	101
64	183	98
65	187	96
66	189	93
67	194	91
68	197	88
69	201	86
70	206	84
71	208	81
72	211	78
73	215	75
74	218	72
75	222	70
76	224	67
77	227	64
78	229	60
79	232	58
80	234	54
81	237	52
82	239	49
83	241	45
84	244	43
85	246	40
86	249	37
87	251	34
88	253	31
89	256	28
90	258	25
91	260	22
92	262	19
93	264	16
94	266	14
95	268	11
96	271	8
97	272	5
98	275	2
99	277	0
